Resumen de incidencia;Horas registradas;Fecha de trabajo;Fecha;Hora Registro;Hasta;Cliente;Descripción del Trabajo;Clave Padre
IE-Daily;0,25;2024-12-11 08:00;2024-12-11;08:00;8:15;IE;"IE-10 CX | Daily IE - ________________________________
From: Diana Buitrago Estrada <diana.buitrago@omni.pro>
Sent: Tuesday, December 10, 2024 3:55:13 PM (UTC) Coordinated Universal Time
To: Diana Buitrago Estrada <diana.buitrago@omni.pro>; Andrea Castillo <andrea.castill";IE70-7
IE-Daily;0,25;2024-12-12 08:00;2024-12-12;08:00;8:15;IE;"IE-10 CX | Daily IE - ________________________________
From: Diana Buitrago Estrada <diana.buitrago@omni.pro>
Sent: Tuesday, December 10, 2024 3:55:13 PM (UTC) Coordinated Universal Time
To: Diana Buitrago Estrada <diana.buitrago@omni.pro>; Andrea Castillo <andrea.castill";IE70-7
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,75;2024-12-13 08:00;2024-12-13;08:00;8:45;IE;"Proyecto HERA - Alineamiento enfoque solución global (Omnipro - Minsait) - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro





Daniel Garac y Gojak SMPC®

CX Project Manager

+54 11 3017";IE70-13
IE-Daily;0,25;2024-12-16 08:00;2024-12-16;08:00;8:15;IE;"IE-10 CX | Daily IE - ________________________________
From: Diana Buitrago Estrada <diana.buitrago@omni.pro>
Sent: Tuesday, December 10, 2024 3:55:13 PM (UTC) Coordinated Universal Time
To: Diana Buitrago Estrada <diana.buitrago@omni.pro>; Andrea Castillo <andrea.castill";IE70-7
IE-Daily;0,25;2024-12-17 08:00;2024-12-17;08:00;8:15;IE;"IE-10 CX | Daily IE - ________________________________
From: Diana Buitrago Estrada <diana.buitrago@omni.pro>
Sent: Tuesday, December 10, 2024 3:55:13 PM (UTC) Coordinated Universal Time
To: Diana Buitrago Estrada <diana.buitrago@omni.pro>; Andrea Castillo <andrea.castill";IE70-7
IE-Planning;0,25;2024-12-18 08:45;2024-12-18;08:45;9:00;IE;"IE70-11 CX | Planning IE - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 264 476 591 393
Passcode: im2AQ3zZ
________________________________
For organizers: Meeting options
_______";IE70-7
Poc Conexión Dynamics - Marketo;0,5;2024-12-18 09:30;2024-12-18;09:30;10:00;IE;Se revisa problema de conexión con dynamics;IE70-2
IE-Daily;0,25;2024-12-19 08:00;2024-12-19;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;1;2024-12-19 11:00;2024-12-19;11:00;12:00;IE;"IE -  CMS + Marketing -- contexto y revisión Datalayer - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortega Vaquerizo, David <dort";IE70-13
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,75;2024-12-20 08:00;2024-12-20;08:00;8:45;IE;"IE - revisión arquitectura global (plantilla) - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortega Vaquerizo, David <dort";IE70-13
IE-Daily;0,25;2024-12-23 08:00;2024-12-23;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;1;2024-12-23 11:00;2024-12-23;11:00;12:00;IE;"IE | Dynamics Marketo (Interna) - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 290 511 957 253
Passcode: MD9NL976
________________________________
For organizers: Meeting options
_";IE70-13
Revisión sincronización y custom objects;2;2024-12-23 14:00;2024-12-23;14:00;16:00;IE;Se realiza la sincronización entre sistemas;IE70-18
IE-Daily;0,25;2024-12-24 08:00;2024-12-24;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Revisión sincronización y custom objects;3;2024-12-24 09:00;2024-12-24;09:00;12:00;IE;Se crean triggers en Marketo para sincronizar en tiempo real hacia Dynamics;IE70-18
Revisión sincronización y custom objects;5;2024-12-24 13:00;2024-12-24;13:00;18:00;IE;Se investiga como crear un trigger en dynamics;IE70-18
